text_idx,sentence_idx,verb,sentence,verb_idx,label
a1k-fragment02,41,fail,Ca n't fail to be entertaining .,2,0
cdb-fragment04,907,go,How much was he going to tell her ?,4,0
ac2-fragment06,1520,win,"Up until that news hit the Committee , Don had won the day with his UK Vehicle Division proposals .",10,0
kbc-fragment13,5871,go,Could go on to the rugby and go with them could n't he ?,1,0
ahb-fragment51,734,go,"Finally , we went to the office and they gave us a cheque , which bounced .",3,0
acj-fragment01,98,show,"It must be shown that the defendant intended ( which , again , includes both purpose and awareness of practical certainty ) to cause really serious injury to someone .",3,1
ahf-fragment24,596,climb,"MP Neville Trotter is a pear-shaped Tory with pear-shaped vowels who has little appeal to the people of Meadowell , and a dwindling appeal in the middle-class suburbs where unemployment is also climbing .",32,1
ac2-fragment06,1508,pour,The Englishman nodded and poured himself more coffee .,4,0
ccw-fragment03,1603,demand,I demanded .,1,0
b1g-fragment02,1243,dump,"What is not known is information on the locations of former sites , at which quite toxic materials may have been dumped , though recent work by Egger ( 1989 ) in Austria has mapped a vast number of such sites .",21,0
acj-fragment01,153,say,"The armed robber might say that he had no intention of using the firearm , that he carried it with him simply to frighten the victim , and that it went off accidentally : if the jury believes that , should he be convicted of murder ?",4,0
a7s-fragment03,62,bear,"Hill expresses the way time has cheated them : his daughter was born while he was remanded in custody , and is now 14 : She would change dramatically and I did n't feel a change in myself mentally .",12,0
kbd-fragment07,2466,get,That 's getting in the,2,0
ab9-fragment03,836,take,"He was unsurprised to find her packed off firmly to take his sister home , leaving him as a person of major importance in what he instantly assumed to be a real murder .",10,0
fet-fragment01,20,find,He had trouble finding an appropriate language for the painter 's obsession with the illuminated material world .,3,1
bpa-fragment14,2187,disappear,"And yet he 'd disappeared , without trace .",4,0
b1g-fragment02,1400,omit,One advantage is the ability to model a range of alternatives by allowing particular criteria to enter or be omitted from the polygon overlay operation .,19,0
kbw-fragment04,2395,buy,Why did n't you want to buy the same one again mum ?,6,0
kbj-fragment17,1624,write,She says to me I 've explained to her how to do it and she says I 'll give you a bit of paper you just write down the answers !,26,0
clp-fragment01,834,reflect,"The material on which the information is printed , the typeface used , the sequence , the structure and the format generally should reflect the conditions of use , ( Easterby and Zwaga , 1984 ) .",23,1
c8t-fragment01,17,render,"It was a substantial , two-storey , L-shaped house standing to the east of the track with walls partly flint and partly rendered , enclosing at the rear a courtyard of York stone which gave an uninterrupted view over fifty yards of scrub to the grassy dunes and the sea .",22,0
a2d-fragment05,34,turn,"Now , however , it seems , the wheel has turned full circle .",10,1
kbd-fragment07,2711,get,"They 've been to his little boy 's primary school , interviewed the teachers and headmistress and all the school friends and everything just trying to get a dirty story .",26,1
kcv-fragment42,4641,want,Isobel wants,1,0
b1g-fragment02,1266,go,"As Perry and others have noted , relatively few resources are devoted to the first two aspects , the bulk going to response and restoration ( rebuilding ) .",20,0
b1g-fragment02,1175,let,"Let us hope that G1S can , in some small way , help mitigate the suffering and hardship felt by all those afflicted by the effects of hazards which , as we have learnt with bitter recent experience in the UK , can occur in an untimely fashion in the most improbable of places .",0,0
a38-fragment01,34,bother,"Even if lead levels in the atmosphere do not bother you , I am sure you will find the fact that unleaded petrol is 15p cheaper , and that diesel fuel boosts mpg by at least a third , most interesting .",9,0
ccw-fragment03,1640,turn,"Precautions will not conquer empires , they will not build great cities , they will not transmute dreams into gold or carry men across wide oceans , and precautions will not , emphatically not , win fair ladies , and here he turned to Ellen and lasciviously dropped his gaze to her long bare legs .",42,0
cdb-fragment02,361,come,They were expensive to buy and came a day late .,6,1
ahf-fragment63,1226,inform,"Sir David English was not informed of the visit and in consequence had no plans to attend the Ideal Home Exhibition that day , the official statement announced .",5,0
amm-fragment02,1664,preserve,"The outline of the soft parts are also clearly displayed , so that the animal has been preserved almost in frozen motion .",17,0
a1f-fragment10,179,see,"Given the already appalling and growing rate of homelessness and lack of hostel facilities in London , when more people than ever will not only have to endure the freezing nights of the coming winter on the streets , but perhaps permanent homelessness , it was terrible to see the situation being exploited for a joke by your advertisement : Just the thing now the evenings are drawing in .",48,0
