verb,sentence,verb_idx,label
absorb,He absorbed the knowledge or beliefs of his tribe .,1,1
absorb,He absorbed the costs for the accident .,1,1
absorb,The sales tax is absorbed into the state income tax .,4,1
absorb,The immigrants were quickly absorbed into society .,4,1
absorb,Her interest in butterflies absorbs her completely .,4,1
abuse,This boss abuses his workers .,2,0
abuse,Do n't abuse the system .,2,1
abuse,The actress abused the policeman who gave her a parking ticket .,2,1
abuse,Her husband often abuses alcohol .,3,1
accommodate,Can you accommodate me with a rental car ?,2,0
accommodate,This hotel can accommodate 250 guests,3,0
accommodate,The scientists had to accommodate the new results with the existing theories,4,0
acknowledge,The program committee acknowledged the submission of the authors of the paper,3,0
acknowledge,He never acknowledges his colleagues when they run into him in the hallway,2,0
acknowledge,We must acknowledge the kindness she showed towards us,2,0
acknowledge,acknowledge the deed,0,0
acknowledge,The Crown Prince was acknowledged as the true heir to the throne,4,0
acquaint,Permit me to acquaint you with my son .,3,0
acquaint,You should acquaint yourself with your new computer .,2,0
acquaint,Please acquaint your colleagues of your plans to move .,1,0
act,think before you act,3,0
act,She acts in this play,1,0
act,You should act like an adult,2,0
act,She acts as the chair,1,1
act,This scene acts well,2,1
address,He addressed the crowd outside the window .,1,0
address,He always addresses me with ` Sir ' .,2,0
adhere,You must adhere to the rules .,2,1
adhere,They adhered to their plan .,1,0
adhere,The residents of this village adhered to Catholicism .,5,1
adhere,Will this wallpaper adhere to the wall ?,3,0
administer,administer a program,0,0
administer,administer the last unction,0,0
administer,administer critical remarks to everyone present,0,0
admit,He admitted his errors,1,0
admit,We can not admit non - members into our club building,3,0
admit,admit someone to the profession,0,0
admit,This problem admits of no solution,2,1
admit,The French doors admit onto the yard,3,0
admit,This ticket will admit one adult to the show,3,0
affect,Will the new rules affect me ?,4,0
affect,the medicine affects my heart rate,2,0
affect,This new ruling affects your business,3,0
age,The death of his wife caused him to age fast,8,0
age,we age every day -- what a depressing thought !,1,0
age,The death of his child aged him tremendously,5,0
agree,We agreed on the terms of the settlement,1,0
agree,She agreed to all my conditions,1,0
agree,The two stories do n't agree in many details,5,0
agree,Subjects and verbs must always agree in English,5,0
agree,White wine does n't agree with me,4,1
agree,No two of my colleagues would agree on whom to elect chairman,6,0
aim,Please do n't aim at your little brother !,3,0
aim,I aim to arrive at noon,1,1
aim,He aimed his fists towards his opponent 's face,1,0
aim,She wanted to aim a pun,3,1
air,This show will air Saturdays at 2 P.M.,3,1
air,We can not air this X - rated song,3,0
air,She aired her opinions on welfare,1,1
air,air the old winter clothes,0,0
allow,We do n't allow dogs here,3,0
allow,Mandela was allowed few visitors in prison,2,0
allow,I allow for this possibility,1,0
allow,The camera store owner allowed me $ 50 on my old camera,4,0
amount,Her action amounted to a rebellion,2,0
amount,""" The bills amounted to $ 2,000 """,3,0
amount,This idea will never amount to anything,4,1
analyze,I was analyzed in Vienna by a famous psychiatrist .,2,0
answer,She did n't want to answer,5,0
answer,The steering of my new car answers to the slightest touch,6,1
answer,answer the telephone,0,0
answer,The question concerning the meaning of life can not be answered,10,0
answer,The defendant answered to all the charges of the prosecution,2,0
answer,She must answer for her actions,2,0
answer,A few words would answer,4,0
answer,The drawing of the suspect answers to the description the victim gave,5,0
answer,This may answer her needs,2,0
appeal,He was found guilty but appealed immediately .,5,0
appeal,Appeal to somebody for help !,0,1
appeal,She appealed the verdict .,1,0
appear,He suddenly appeared at the wedding,2,0
appear,Did your latest book appear yet ?,4,0
appear,Gielgud appears briefly in this movie,1,0
appear,He had to appear in court last month,3,0
appreciate,Do you appreciate the full meaning of this letter ?,2,0
appreciate,The yen appreciated again !,2,0
appreciate,The Germans want to appreciate the Deutsche Mark,4,0
approach,We were approaching our destination,2,0
approach,Winter is approaching,2,0
approach,I was approached by the President to serve as his adviser in foreign matters,2,0
ascend,We ascended the mountain .,1,0
ascend,Inheritance may not ascend linearly .,3,1
ascend,She ascended to the throne after the King 's death .,1,0
ascend,The boat ascended the Delaware .,2,0
ascend,The path ascended to the top of the hill .,2,0
ask,I asked about their special today,1,0
ask,She asked him for a loan,1,0
ask,He is asking $ 200 for the table,2,0
assign,We were assigned new uniforms .,2,0
assign,The teacher assigned him to lead his classmates in the exercise .,2,0
assign,The biologist assigned the mushroom to the proper class .,2,0
assimilate,Immigrants often want to assimilate quickly,4,0
assimilate,This country assimilates immigrants very quickly,2,0
assimilate,The nasal assimilates to the following consonant,2,0
assume,I assume his train was late,1,0
assume,When will the new President assume office ?,5,0
assume,He assumes the lotus position,1,0
assume,He assumed to himself the right to fill all positions in the town,1,0
assume,""" She assumed indifference , even though she was seething with anger """,2,0
assume,This is the day when May was assumed into heaven,7,0
attack,""" Hitler attacked Poland on September 1 , 1939 and started World War II """,2,0
attack,The editors of the left - leaning paper attacked the new House Speaker,8,1
attack,The Serbs attacked the village at night,2,0
attack,I attacked the problem as soon as I got out of bed,1,1
attack,The cancer cells are attacking his liver,4,0
attend,She attends class regularly,1,0
attend,Menuhin 's playing was attended by a 15-minute standing ovation,4,0
attend,She attends the old lady in the wheelchair,1,0
attend,The children in the audience attended the recital quietly,5,0
attest,His high fever attested to his illness,3,1
attest,I attest this signature,1,0
attest,This word is not attested until 1993,4,0
avoid,Let 's avoid a confrontation .,2,0
avoid,Muslims avoid tobacco during the day .,1,0
back,back into the driveway,0,0
back,back the car into the parking spot,0,0
back,back this enterprise,0,0
back,My garage backs their yard,2,0
back,Which horse are you backing ?,4,1
back,Can you back up your claims ?,2,0
begin,The DMZ begins right over the hill,2,0
begin,The number ` one ' begins the sequence,5,0
begin,The novel begins with a murder,2,0
