verb,sentence,verb_idx,label
ease,ease the pain in your legs,0,0
claim,They claimed on the maximum allowable amount,1,0
gag,The press was gagged,3,1
communicate,The rooms communicated,2,1
match,Let them match their best athletes against ours .,2,0
spot,This dress spots quickly,2,0
sail,We sailed the Atlantic,1,0
culminate,Seurat culminated pointillism .,1,1
stimulate,stimulate my appetite,0,0
declare,His wife declared at once for moving to the West Coast,2,0
face,A glossy material faced the lapels of the jacket .,3,1
miss,The arrow missed the target,2,0
correct,engineers will work to correct the effects or air resistance,4,0
treat,Do n't worry about the expensive wine -- I'm treating,9,0
debut,The band debuts a new song or two each month,2,0
want,Your former neighbor is wanted by the FBI,4,0
bounce,The rubber ball bounced,3,0
paint,We painted the rooms yellow,1,0
acknowledge,acknowledge the deed,0,0
explode,We exploded the nuclear bomb,1,0
relate,How are these two observations related ?,5,0
paste,He pasted his opponent,1,1
air,We can not air this X - rated song,3,0
mold,She molded the rice balls carefully,1,0
shed,Our dog sheds every Spring .,2,0
capture,capture the essence of Spring,0,1
uproot,They plan to uproot the vine that has spread all over the garden .,3,0
harmonize,harmonize one 's goals with one 's abilities,0,1
bounce,The ex - boxer 's job is to bounce people who want to enter this private club,8,1
compose,Beethoven composed nine symphonies,1,0
locate,Can you locate your cousins in the Midwest ?,2,0
tense,He tensed up when he saw his opponent enter the room,1,0
step,step over to the blackboard,0,0
inform,She had informed on her own parents for years,2,0
sign,This road has been signed .,4,0
claim,He claimed his suitcases at the airline counter,1,0
declare,Do you have anything to declare ?,5,0
fracture,The pothole fractured a bolt on the axle .,2,0
seat,seat the camera on the tripod,0,0
preserve,preserve the forest and the lakes,0,0
swallow,She swallowed the last words of her speech,1,1
buy,She wanted to buy his love with her dedication to him and his work,3,0
ruffle,This play is going to ruffle some people .,5,1
ordain,The minister was ordained only last month .,3,0
step,She stepped into a life of luxury,1,1
reflect,His lack of interest in the project reflects badly on him,7,1
clean,The boys cleaned the sandwich platters,2,0
believe,""" When you hear his sermons , you will be able to believe , too """,12,0
puff,Her faced puffed up from the drugs,2,0
breathe,She breathes the Christian spirit,1,1
convulse,The comedian convulsed the crowd,2,1
retrofit,The laboratory retrofitted to meet the safety codes,2,0
splash,She splashed the water around her .,1,0
claw,They clawed their way to the top of the mountain .,1,1
spray,Water sprayed all over the floor,1,0
ordain,The King ordained the persecution and expulsion of the Jews .,2,0
seem,She seems to be sleeping,1,0
gag,he swallowed a fishbone and gagged,5,0
recruit,The lab director recruited an able crew of assistants .,3,0
time,The candidate carefully timed his appearance at the disaster scene .,3,0
admit,This problem admits of no solution,2,1
clean,The dentist cleaned my teeth,2,0
rail,They railed from Rome to Venice,1,0
inject,inject hydrogen into the balloon,0,0
conduct,conduct an orchestra ; Barenboim conducted the Chicago symphony for years,5,0
wallow,pigs were wallowing in the mud,2,0
assign,The biologist assigned the mushroom to the proper class .,2,0
wish,I wish I could go home now .,1,0
blaze,Meteors blazed across the atmosphere .,1,1
loop,He looped the watch through his belt .,1,0
mold,The furniture molded in the old house,2,0
put,put these words to music,0,0
lean,We can lean on this man,2,1
pump,He pumped bullets into the dummy .,1,1
wrestle,He wrestled all his life with his feeling of inferiority .,1,1
land,The ship landed in Pearl Harbor,2,0
glow,Make the people 's hearts glow,5,1
fasten,He fastened the lock onto the door .,1,0
puff,The critics puffed up this Broadway production,2,1
aim,Please do n't aim at your little brother !,3,0
reseat,The usher insisted on reseating us,4,0
involve,Do n't involve me in your family affairs !,2,0
spell,She spelled her husband at the wheel,1,1
loop,The stunt pilot looped his plane .,3,1
locate,Our sense of sight enables us to locate objects in space .,7,0
communicate,He and his sons have n't communicated for years,6,0
waste,The water wastes back into the ocean .,2,1
shower,The guests showered rice on the couple,2,0
waste,He wasted his inheritance on his insincere friends .,1,1
appreciate,The yen appreciated again !,2,0
acknowledge,We must acknowledge the kindness she showed towards us,2,0
act,This scene acts well,2,1
transform,He transformed into a monster .,1,1
decide,This new development finally decided me !,4,0
talk,She will talk at Rutgers next week .,2,0
hail,She hails from Kalamazoo,1,0
blast,blast a passage through the mountain,0,0
interrupt,Do n't interrupt me when I 'm reading,2,0
abuse,This boss abuses his workers .,2,0
change,She changed completely as she grew older,1,0
mean,The water shortage means that we have to stop taking long showers .,3,0
demand,I demand an explanation,1,0
salute,I meet this men every day on my way to work and he salutes me,13,0
build,Suspense was building right from the beginning of the opera,2,0
level,level criticism or charges at somebody,0,1
admit,We can not admit non - members into our club building,3,0
eat,She was eating a banana,2,0
govern,His belief in God governs his conduct,4,0
vest,She vested her vast fortune in her two sons,1,0
pump,She pumped the witnesses for information .,1,1
sign,""" I do n't know how to sign , so I could not communicate with my deaf cousin . """,7,0
digest,the government digested the entire law into a code,2,1
lend,I will lend you my car,2,0
desert,""" If soldiers deserted Hitler 's army , they were shot """,3,0
want,want the strength to go on living,0,0
impress,The young chess player impressed her audience,4,0
recapture,The author recaptures an old idea here .,2,0
approach,I was approached by the President to serve as his adviser in foreign matters,2,0
flare,Every star seemed to flare with new intensity .,4,1
date,She wrote the letter on Monday but she dated it Saturday so as not to reveal that she procrastinated,8,0
warn,I warned you that I would ask some difficult questions .,1,0
shorten,The manuscript must be shortened,4,0
assign,The teacher assigned him to lead his classmates in the exercise .,2,0
rail,fresh fruit are railed from Italy to Belgium,3,0
mount,mount slides for macroscopic analysis,0,0
steam,The rain forest was literally steaming,5,0
demand,The victim 's family is demanding compensation,5,0
agree,No two of my colleagues would agree on whom to elect chairman,6,0
orient,The dean of students tries to orient the freshmen,6,0
palpitate,His nostrils palpitated,2,0
paint,he painted all day in the garden,1,0
look,She looked her devotion to me,1,0
whistle,She whistled a melody,1,0
pin,pin the needle to the shirt,0,0
dull,the varnished table top dulled with time,4,0
put,That song put me in awful good humor,2,0
seize,The FBI seized the drugs,2,0
steamroller,steamroller the opposition,0,1
inject,He injected new life into the performance,1,1
refine,refine a design or pattern,0,0
denote,Her smile denoted that she agreed,2,0
cheer,The crowd cheered the demonstrating strikers,2,0
translate,poetry often does not translate,4,0
scan,The beams scanned the night sky,2,1
vegetate,The fields vegetate vigorously,2,0
