txt_id,sen_ix,sentence,label_seq,pos_seq,labeled_sentence,genre
a1k-fragment02,41,Ca n't fail to be entertaining .,"[0, 0, 0, 0, 0, 0, 0]","['VERB', 'ADV', 'VERB', 'PART', 'VERB', 'ADJ', 'PUNCT']",Ca n't fail to be entertaining .,news
cdb-fragment04,907,How much was he going to tell her ?,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","['ADV', 'ADJ', 'VERB', 'PRON', 'VERB', 'PART', 'VERB', 'PRON', 'PUNCT']",How much was he going to tell her ?,fiction
ac2-fragment06,1520,"Up until that news hit the Committee , Don had won the day with his UK Vehicle Division proposals .","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","['ADP', 'ADP', 'DET', 'NOUN', 'VERB', 'DET', 'PROPN', 'PUNCT', 'PROPN', 'VERB', 'VERB', 'DET', 'NOUN', 'ADP', 'ADJ', 'PROPN', 'PROPN', 'PROPN', 'NOUN', 'PUNCT']","Up until M_that news M_hit the Committee , Don had won the day M_with his UK Vehicle Division proposals .",fiction
kbc-fragment13,5871,Could go on to the rugby and go with them could n't he ?,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['VERB', 'VERB', 'PART', 'ADP', 'DET', 'NOUN', 'CCONJ', 'VERB', 'ADP', 'PRON', 'VERB', 'ADV', 'PRON', 'PUNCT']",Could go on to the rugby and go with them could n't he ?,conversation
ahb-fragment51,734,"Finally , we went to the office and they gave us a cheque , which bounced .","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0]","['ADV', 'PUNCT', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'CCONJ', 'PRON', 'VERB', 'PRON', 'DET', 'NOUN', 'PUNCT', 'ADJ', 'VERB', 'PUNCT']","Finally , we went to the office and M_they M_gave us a cheque , which M_bounced .",news
acj-fragment01,98,"It must be shown that the defendant intended ( which , again , includes both purpose and awareness of practical certainty ) to cause really serious injury to someone .","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","['PRON', 'VERB', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT', 'ADJ', 'PUNCT', 'ADV', 'PUNCT', 'VERB', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'PART', 'VERB', 'ADV', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","It must be M_shown that the defendant intended ( which , again , M_includes both purpose and awareness of practical certainty ) to cause really serious injury M_to someone .",academic
ac2-fragment06,1508,The Englishman nodded and poured himself more coffee .,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","['DET', 'PROPN', 'VERB', 'CCONJ', 'VERB', 'PRON', 'ADJ', 'NOUN', 'PUNCT']",The Englishman nodded and poured himself more coffee .,fiction
ccw-fragment03,1603,I demanded .,"[0, 0, 0]","['PRON', 'VERB', 'PUNCT']",I demanded .,fiction
b1g-fragment02,1243,"What is not known is information on the locations of former sites , at which quite toxic materials may have been dumped , though recent work by Egger ( 1989 ) in Austria has mapped a vast number of such sites .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['NOUN', 'VERB', 'ADV', 'VERB', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'ADP', 'ADJ', 'ADV', 'ADJ', 'NOUN', 'VERB', 'VERB', 'VERB', 'VERB', 'PUNCT', 'ADP', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'ADP', 'PROPN', 'VERB', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT']","What is not known is information on the locations of former sites , at which quite toxic materials may have been dumped , though recent work by Egger ( 1989 ) in Austria has mapped a vast number of such sites .",academic
kbd-fragment07,2466,That 's getting in the,"[1, 0, 0, 0, 0]","['DET', 'VERB', 'VERB', 'ADP', 'DET']",M_That 's getting in the,conversation
