verb,sentence,verb_idx,label
absorb,"An Energy Department spokesman says the sulfur dioxide might be simultaneously recoverable through the use of powdered limestone , which tends to absorb the sulfur ",22,0
absorb,The yellow beta carotene pigment absorbs blue -LRB- not yellow -RRB- laser light ,5,0
absorb,"This time , the ground absorbed the shock waves enough to transfer her images to the metal in bas - relief ",5,0
absorb,"'' Vitamins could be passed right out of the body without being absorbed , '' he says ",12,0
absorb,"As Eliot wrote : '' In a warm haze , the sultry light is absorbed , not refracted , by grey stone . . . . '' and flowers do indeed '' sleep in empty silence . '",14,0
absorb,"New Pig Corp . , Tipton , Pa . , offers a hot - dog - shaped sponge that absorbs polluting liquids around factory machines ",19,0
absorb,Mr. Gallas says he began looking into melanin about five years ago when he was working on solar energy and was looking for materials that absorb sunlight ,25,0
absorb,"The fatty deposits have a yellowish hue and therefore absorb more of the yellow laser energy than the surrounding , almost colorless artery wall ",9,0
absorb,"Mr. Filisko says his fluids do n't rely on absorbed water , and perform better as temperatures rise ",9,0
assault,"For example , he carefully steered clear of controversies such as New York 's Tawana Brawley case , where some rabble - rousing lawyers are charging that a young black woman was assaulted and raped by whites ",32,0
assault,"Last year , the NRA ran a newspaper ad featuring a harrowing photo of a frightened woman and asserting that a 20-year - old American woman has a 72 % chance of being raped , robbed or assaulted in her lifetime ",37,0
assault,"Among the tantrums he admits : heaving a faulty phone across the control room , kicking in a TV screen to force NBC to buy a new one , and assaulting construction workers who were too noisy during taping ",30,0
assault,Mr. Tyson has denied that he tried to kill himself and that he assaulted his wife ,13,0
assault,"He was detained on June 23 , and for two weeks he was regularly assaulted by South African police ",14,0
assault,"John Gil , a San Diego landlord , and Mike Black , an apartment manager , were sued in state Superior Court in San Diego by a tenant who was assaulted by a pet monkey owned by two other renters ",30,0
assault,"Mr. Guez , of Old Westbury , N.Y . , also is currently under indictment and awaiting trial for allegedly assaulting a deputy U.S. marshal who tried to seize Sasson records last year at the posh $ 5.5 million Manhattan townhouse where Mr. Guez once resided ",20,0
attack,One sure sign has reappeared to attest that the interests of the United States must be taking a turn for the good in El Salvador : The country is being attacked ,30,0
attack,"From the 14th century to Corregidor in 1942 , such forts had to be taken by storm before attacking ships could pass ",18,0
attack,"Insects begin attacking the snags almost immediately after a fire , and the charred trunks are likely to be toppled by the wind ",2,0
attack,"An Agence France Press dispatch on August 8 reported that an Afghan air force plane was shot down by a Pakistani F-16 while attacking Afghan refugee camps 30 kilometers inside Pakistan territory , near Miram Shah ",23,0
attack,"-- The other day , U.S. helicopters fired on Iranian gunboats that were preparing to attack a Panamanian ship near Farsi Island ",15,0
attack,"Prince Norodom Sihanouk , the former Cambodian leader , said this week he was withdrawing from the resistance because the Khmer Rouge continues to attack his forces along the Thai - Cambodia border ",24,0
attack,"They point out that three members of Abu Nidal 's organization are in jail in Greece on separate charges of attacking a synagogue in Rome , weapons smuggling , plotting to assassinate the Jordanian charge d'affairs in Greece , and possessing weapons in prison ",20,0
attack,The Sandinistas have now offered reasons for attacking and arresting anti - government demonstrators Sunday -LRB- '' Somocista Bands Invade Nandaime '' -RRB- ; for closing Radio Catolica -LRB- '' lack of respect for constitutional order '' -RRB- ; for arresting a Conservative Party leader -LRB- '' the principal instigator '' -RRB- ,7,0
attack,"In Greece , an official said the terrorists who attacked the liner in the Aegean Sea may have been pro - Iranian Arabs trying to hijack it ",9,0
attack,The incident occurred after an Aegis cruiser mistook the large passenger jet for an attacking F-14 fighter ,14,0
attack,Phalanx can be overwhelmed when a ship is attacked by several missiles at once -LRB- the Stark was struck by two Exocets -RRB- ,8,0
attack,"The administration tried again in mid-1987 , suspending military and economic aid to Panama after rioters , led by some government officials , attacked the American Embassy in Panama City ",23,0
attack,U.S. officials said evidence suggests that a Japanese terrorist arrested last month in New Jersey with homemade bombs was on his way to attack a target in New York City ,23,0
attack,The ship had n't attacked U.S .- flag vessels or been involved in mine - laying ,4,0
attack,"Here in Masaya , supporters of a group known as the Mothers of Political Prisoners were brutally attacked by turbas in a well - documented incident in March ",17,0
attack,Sparrows used to have a rep for selectively attacking yellow crocuses such as '' E.A ,8,0
attack,"American officials have concluded that the Kuwaiti hijacking is the work of a Lebanese Shiite terrorist named Imad Mugniyah who has been trying for more than four years to free his wife 's brother from prison in Kuwait , where he was convicted in 1984 of building a bomb used to attack the U.S. Embassy ",51,0
attack,"Iran said its jets bombarded an Iraqi military base and oil refinery in Baghdad , and Iraq said its forces attacked 10 Iranian towns ",20,0
attack,Tamil militants attacked and set fire to two Moslem fishing villages in eastern Sri Lanka ,2,0
attack,"Iranian gunboats attacked an Indian tanker in the Persian Gulf , setting the vessel ablaze and wounding at least one crew member , gulf - based shipping executives reported ",2,0
attack,"In northern Nicaragua , Honduran jets attacked a Sandinista military headquarters ",6,0
attack,"Rioting Iranians attacked the Soviet Union 's Embassy in Tehran , accusing Moscow of supplying Iraq with missiles used in recent raids on Iran ",2,0
attack,The PLO said it would attack Israeli targets to avenge Sunday 's killing of three guerrillas and Monday 's bombing of a ship intended to carry Palestinian deportees to Israel ,5,0
attack,"In the Persian Gulf , Iran twice attacked a Norwegian tanker ",7,0
attack,"This expert also believes that Pyongyang might use helicopters it has bought from the West , which are identical to those used by the Seoul army , to attack student demonstrators ",28,0
attack,His antics once provoked an elderly ruling - party legislator to attack him with a cane ,11,0
attack,The view contradicts administration claims that Moscow knew it was attacking a non - military target ,10,0
attack,"It is to this purpose that SDI laser technology can be uniquely directed , where moving targets can be attacked almost immediately after they are detected ",19,0
attack,"Here in Masaya , supporters of a group known as the Mothers of Political Prisoners were brutally attacked by turbas in a well - documented incident in March ",17,0
attack,Pakistani cheating could prompt Moscow to declare the accords void or to attack Afghan - resistance camps in Pakistan ,12,0
attack,"None of the Democratic leadership in the House or Senate was notified about the move , unlike when the U.S. ordered troops into Grenada in 1983 or last October when U.S. forces in the Persian Gulf attacked an oil platform that had been converted to a military facility ",36,0
attack,"Tamil rebels attacked a village in eastern Sri Lanka , killing at least 16 people in the assault on homes of the majority Sinhalese ",2,0
attack,"As the recent Ikle - Wohlstetter report , '' Discriminate Deterrence '' -LRB- the source of the nearby maps -RRB- , to President Reagan makes clear , it 's far more likely that the Soviets would attack first on the more vulnerable fringes of the alliance , perhaps in the Persian Gulf or Norway ",36,0
attack,"Because a commitment to hold open the 74.4 miles of supply road to Khost from Gardez would require even more Soviet casualties and force , the optimists surmise that the Soviets are attacking Khost to get out of Afghanistan ",32,0
attack,"The point of this review is not necessarily to let off the Eritreans , who have recently come under deservedly strong criticism for attacking two food convoys , but to demonstrate how famine in northern Ethiopia is part of something much broader and more complex than drought ",23,0
attack,"The only thing certain is that a Korean merchant wholly dependent on the good will of his customers would be crazy to attack a black grandmother in a virtually all - black neighborhood -- and Mr. Chung , who cleaned fish for three years to scrape together the money to buy his market , seems anything but crazy ",22,0
attack,"These Protestants retaliate by physically attacking Catholics , Mr. Donnelly says ",5,0
attack,These do n't protect anything and are n't designed to kill attacking guerrillas ,11,0
attack,"I arrived in Vietnam in early 1968 , as green as the beret I wore , and was assigned to the Special Forces '' A '' team that had the dubious distinction , two weeks later , of being one of the first attacked during the Tet offensive ",43,0
attack,"Next , a member of his audience , attired in a garment resembling the flag , attacked him ",16,0
attack,"This suggests a panicky response from the Vincennes , particularly since a Pentagon air - combat specialist quoted by Mr. Kaplan in the Boston Globe said that an attacking F-14 probably would be traveling '' at at least 550 to 580 knots , '' 100 knots faster than Adm. Crow says the Airbus was flying , and '' well under 1 , 000 feet . . . ",28,0
attack,"But Iran 's positions , overrun in last Saturday 's attack on Majnoon , were just a few thin lines of hillocks ; the fortifications of an army that expects to attack rather than defend ",31,0
attack,"On Friday , Commander Abdul Haq 's troops attacked Kabul Airport with new Sacher incendiary rockets ",8,0
attack,"The best of show in painting , Oleg Stavrowsky 's 40-inch by 72-inch oil of a stagecoach being attacked by bandits , went for $ 14 , 000 ",18,0
attack,"Preassembling attacking teams on a number of single bases , so that the loss of no one base could mess things up too badly , would help , although it would be a logistical nightmare ",1,0
besiege,"In 1347 , Mongols besieging the Black Sea port of Caffa began to sicken and die from the plague ",4,0
besiege,"When radicals besieged his hotel while he was visiting Seoul last week , he promised them he would make yet another effort to play up to North Korea -- by renewing the offer to let the North host several Olympic events ",2,0
besiege,Thousands of Chinese soccer fans battled police and besieged a rival team 's hotel during a riot Monday night ,8,0
cool,"Company officials could n't be reached for elaboration , but Gary P. Smaby , who follows the industry for Needham & Co . , said he understood that cooling problems had developed that could delay delivery of the machine ",28,1
cool,"Justin makes building products , cooling towers and boots ",5,1
cool,"The Nuclear Regulatory Commission fined Detroit Edison Co . $ 25 , 000 for the faulty design of a core cooling system at the Detroit - based utility 's Fermi 2 nuclear reactor ",20,1
cool,"Zero makes cases , cabinets and cooling equipment for the electronics industry and industrial and consumer use ",6,0
cool,"You have to build up the equipment to a certain power level , test it , cool it down , then possibly repair it , and it may take months to bring it up again . '",16,0
cool,"For an auto , Mr. Loehrke envisions the warm end of the pipe heated by the radiator and the condenser end cooled by the outside air ",21,0
cool,"Then again , other gases might cause a lot of clouds to form , blocking sunlight and cooling things off ",17,0
cool,They can generate such heat they need cooling fans ; trunk - mounting avoids turning the passenger compartment into a blast furnace ,7,0
cool,Heavy water is used to control and cool the reaction of small research reactors ,7,0
cool,"Japanese companies already are at the forefront of development of an older generation of superconductors , those that have to be cooled almost to absolute zero ",21,0
cool,Beer flowed from big pitchers as a cooling obbligato to the hot sounds ,7,0
