arg1,arg2,verb,sentence,verb_stem,label
mileage,struck,blow,Triple mileage has struck another blow to the coupon market .,strike,1
terrorist,attack,target,U.S. officials said evidence suggests that a Japanese terrorist arrested last month in New Jersey with homemade bombs was on his way to attack a target in New York City .,attack,0
forces,stepped,use,"Some police forces , for example , have stepped up use of a 20-year-old system called Vascar -LRB- Vehicle and Speed Computed and Recorded -RRB- .",step,0
day,pour,stream,"Every day his troops gather under the green , red and black banner of black nationalism and pour out a stream of racial abuse .",pour,0
manufacturers,rolling,products,"He says manufacturers are increasingly rolling out questionable products that are n't fully researched , justified and tested .",roll,1
he,plowed,afoot,"He plowed afoot behind a mule , picked cotton and hoed peanuts .",plow,0
inc.,stepped,pursuit,"Tyson Foods Inc. stepped up its pursuit of Holly Farms Corp . , launching a hostile $ 52-a-share tender offer to acquire the chicken producer for about $ 941 million .",step,1
that,rain,warheads,"But in the 1960s , when both superpowers were building up ballistic missiles that could rain warheads down from space , the U.S. decided against sinking money into what would be only a partial defense .",rain,1
he,kill,messrs,"According to Mr. Gage , Mr. Mulheren later told police , several of whom are friends of his , that he would kill Messrs .",kill,1
residents,absorbed,pizza,"In the years since 1853 , when 4 , 058 steamboats arrived at the Cincinnati waterfront loaded with `` foreign '' people and exotic merchandise , Cincinnati residents have absorbed chili and pizza and wontons and dirty rice while adjusting to electric music and jet lag .",absorb,1
ibm,stepped,efforts,Amstrad is one of the last major personal-computer makers to sign such an accord with IBM. IBM has stepped up efforts to enforce its patent rights since launching its new line of PS 2 models in April 1987 .,step,1
appeal,attacking,treatment,An analogous appeal attacking similar treatment of future claims in the Manville case is pending before a federal appellate court in Manhattan .,attack,0
finding,lends,credence,"Third , the finding of the same basic pattern again and again , by a variety of researchers controlling for a host of other variables , lends credence to the view that the disparities reflect a real and robust phenomenon .",lend,0
ads,drink,something,Coke is even directly attacking coffee 's breakfast appeal with radio ads urging people to drink something cold to come `` alive in the morning . '',drink,0
mcdonough,smooths,it,"Vice Chairman William J. McDonough , a former State Department official and now the peacekeeper between First Chicago 's two executive camps , smooths it all over this way: `` A traumatic decision in 1986 became a no-brainer in 1987 . ''",smooth,1
burma,escaped,vortex,"Ne Win , however , saw that Burma escaped the Vietnam vortex .",escape,0
explosion,destroyed,plant,A Soviet Foreign Ministry aide disputed claims by U.S. officials that an explosion last week destroyed the only plant producing rocket fuel for SS-24 intercontinental missiles .,destroy,0
one,miss,virtuosic,"Among the monographic presentations , one ought not to miss Jacobo Borges 's virtuosic and highly charged paintings at the Venezuelan pavilion and Janez Bernik 's powerfully expressionistic paintings at the Yugoslavian pavilion .",miss,0
who,destroys,guys,"Director John McTiernan -LRB- `` Predator '' -RRB- has efficiently slapped together the ingredients for a big , ear-shattering action film: slick , heavily armed villains ; a wife in peril ; stupid TV journalists who only make things worse ; a renegade cop who singlehandedly destroys the bad guys against impossible odds .",destroy,0
economy,drag,heels,"That implies production slowdowns , which could result in job losses and weaker consumer spending , which in turn would cause the economy to drag its heels further .",drag,1
gunboats,attacked,tanker,"Iranian gunboats attacked an Indian tanker in the Persian Gulf , setting the vessel ablaze and wounding at least one crew member , gulf-based shipping executives reported .",attack,0
rains,killed,people,"Water is receding there , but in Bombay yesterday , torrential rains killed at least 14 people , and roads and rail links in the city were cut off .",kill,0
ads,drink,people,Coke is even directly attacking coffee 's breakfast appeal with radio ads urging people to drink something cold to come `` alive in the morning . '',drink,0
b-1b,rolled,line,"The last B-1B , the warplane built for the Air Force by Rockwell International Corp . , rolled off the production line last week .",roll,0
crash,killed,people,"It was then that a 747 crash killed 520 people , the worst single-aircraft accident in aviation history .",kill,0
period,die,sterile,A critical 10-day period in which much of the $ 22 billion corn crop must germinate or die sterile is passing without adequate rain .,die,0
