text_idx,sentence_idx,verb,sentence,verb_idx,label
a1k-fragment02,41,fail,Ca n't fail to be entertaining .,2,0
cdb-fragment04,907,go,How much was he going to tell her ?,4,0
ac2-fragment06,1520,win,"Up until that news hit the Committee , Don had won the day with his UK Vehicle Division proposals .",10,0
kbc-fragment13,5871,go,Could go on to the rugby and go with them could n't he ?,1,0
ahb-fragment51,734,go,"Finally , we went to the office and they gave us a cheque , which bounced .",3,0
acj-fragment01,98,show,"It must be shown that the defendant intended ( which , again , includes both purpose and awareness of practical certainty ) to cause really serious injury to someone .",3,1
ac2-fragment06,1508,pour,The Englishman nodded and poured himself more coffee .,4,0
ccw-fragment03,1603,demand,I demanded .,1,0
b1g-fragment02,1243,dump,"What is not known is information on the locations of former sites , at which quite toxic materials may have been dumped , though recent work by Egger ( 1989 ) in Austria has mapped a vast number of such sites .",21,0
kbd-fragment07,2466,get,That 's getting in the,2,0
fet-fragment01,20,find,He had trouble finding an appropriate language for the painter 's obsession with the illuminated material world .,3,1
bpa-fragment14,2187,disappear,"And yet he 'd disappeared , without trace .",4,0
kbw-fragment04,2395,buy,Why did n't you want to buy the same one again mum ?,6,0
c8t-fragment01,17,render,"It was a substantial , two-storey , L-shaped house standing to the east of the track with walls partly flint and partly rendered , enclosing at the rear a courtyard of York stone which gave an uninterrupted view over fifty yards of scrub to the grassy dunes and the sea .",22,0
a2d-fragment05,34,turn,"Now , however , it seems , the wheel has turned full circle .",10,1
kbd-fragment07,2711,get,"They 've been to his little boy 's primary school , interviewed the teachers and headmistress and all the school friends and everything just trying to get a dirty story .",26,1
kcv-fragment42,4641,want,Isobel wants,1,0
cdb-fragment02,361,come,They were expensive to buy and came a day late .,6,1
ahf-fragment63,1226,inform,"Sir David English was not informed of the visit and in consequence had no plans to attend the Ideal Home Exhibition that day , the official statement announced .",5,0
amm-fragment02,1664,preserve,"The outline of the soft parts are also clearly displayed , so that the animal has been preserved almost in frozen motion .",17,0
a1f-fragment10,179,see,"Given the already appalling and growing rate of homelessness and lack of hostel facilities in London , when more people than ever will not only have to endure the freezing nights of the coming winter on the streets , but perhaps permanent homelessness , it was terrible to see the situation being exploited for a joke by your advertisement : Just the thing now the evenings are drawing in .",48,0
fpb-fragment01,1207,become,"Elinor was sometimes at a loss for the right word , or name , and then became impatient with herself ; she was often frustrated because she could n't move as swiftly as she did before .",16,0
b1g-fragment02,1091,ensure,"Fortunately , technical developments have ensured that the increase in computing power per unit cost has been growing at about an order of magnitude every 6 years over the last three decades .",5,0
g0l-fragment01,377,laugh,He laughed .,1,0
kbw-fragment17,6281,know,and it does mean that they can relax you know about work and everything,9,0
kb7-fragment10,2253,know,"You know I mean other than that , no I mean it it 's not as if",1,0
fpb-fragment01,1371,know,"She was in hospital for six weeks , and I was the only one who knew it was n't an accident .",15,0
clp-fragment01,745,acquire,Task analysis has not and can not be reduced to a set of standardised procedures which the aspiring analyst could acquire in a formal training course .,20,1
a7y-fragment03,203,repair,It was surely repugnant to commonsense that in this area of legal activity a local authority should be prosecuted by one of its tenants without first being given the opportunity by that tenant to remedy the consequences of a neglect to repair the dwelling that the tenant occupied .,41,0
g0l-fragment01,218,want,They did n't want the Yanks stumbling in and screwing up in an attempt to force the issue .,3,0
kcf-fragment14,1434,forget,And do n't forget we 're going down the fracture clinic Alison !,3,0
cb5-fragment02,3261,tell,"I 'm afraid it 's true , Mrs Carson told them .",9,0
kbw-fragment04,2695,watch,You 're going to watch Rosie and Jim dear .,4,0
kbh-fragment02,236,please,"Charlotte please do n't talk with your mouth full , there 's a good girl .",1,0
kbw-fragment42,14920,think,"When we 've had half a whole , I 'm thinking half a whole",10,0
ea7-fragment03,846,justify,He became Robert of Jerusalem to his contemporaries ; his deeds were recorded in the Song of Antioch ; his pious bravery totally expunged the memory of Robert the Frisian 's usurpation ; and after his death his son Baldwin VII harped on his father 's achievement to justify his substantial use of coercion against the enemies of the church .,48,0
ab9-fragment03,986,let,"You are letting this disappointment and that 's all it is , you 're still a very well-off young woman get in the way of everything .",2,1
